Clase,Lugar,Cantidad_Viajes
restaurant,Casa 19,14
hotel,Villa Condesa,14
restaurant,Cafetería Sanborns,14
restaurant,Day Light Salads,14
restaurant,broka,14
restaurant,Taquería Tlacoteotl,14
restaurant,El Auténtico Pato Manila,14
restaurant,Tienda De Pollos,14
restaurant,La Pagoda,14
restaurant,Desayunos,14
restaurant,Restaurante 5M,14
restaurant,The Capital Grille,14
restaurant,Mercado IsabeLa,14
restaurant,Wing Station,14
restaurant,El Jardín Interior,14
restaurant,La Rua,14
restaurant,Pad Thai,14
hotel,Hotel Montecarlo,14
restaurant,Villa Rica,14
restaurant,Sukiya,13
restaurant,GoTan,13
restaurant,Minichelista,13
hotel,Hotel Escandón,13
restaurant,El Diez,13
hotel,City Express by Marriott Ciudad de México Alameda,13
restaurant,La Montejo,13
restaurant,La Criolla,13
restaurant,Porco Rosso Roma,13
restaurant,Sanborns Loreto,13
restaurant,El Paisa,13
restaurant,Clip Cafetería,13
restaurant,El Jamil,13
restaurant,Les Moustaches,13
restaurant,Papa John's,13
restaurant,Casa Portuguesa,13
restaurant,Balboa pizzería,13
restaurant,Pizza Cielo,13
restaurant,Prosecco,13
hotel,Hotel Isabel,13
restaurant,Carnitas El Azul,13
restaurant,Porter,13
restaurant,El Cardenal Tacuba,13
restaurant,Pepes,13
restaurant,El Polanquito,13
restaurant,Los Callejeros,13
restaurant,Goguinara,13
restaurant,Los Bisquets de Obregón,13
restaurant,Pane en Via,13
restaurant,Benedetti's Pizza,13
restaurant,Testal,13
restaurant,Trattoria Giacovanni,13
restaurant,Mercado Roma,13
restaurant,La Casa Del Pastor,13
restaurant,La Montañesa,13
restaurant,Chetito,13
restaurant,Museo del jamón México,13
restaurant,Buvette,13
restaurant,El Huequito Tacos Gourmet,13
restaurant,Bagatelle Mexico City,13
restaurant,El Califa Taqueria,13
restaurant,Fonda Doña Blanca,13
restaurant,Paradero Conocido,13
restaurant,Nahnu -Tacos Árabes,13
restaurant,Quereres,13
restaurant,Casa Churra,13
restaurant,Capri,13
restaurant,Rodizio Carnes de Brazil,13
restaurant,Nonsolo,13
hotel,City Express Buenavista,13
restaurant,marmota,13
restaurant,Gino’s Ristorante,13
restaurant,Cocina Conchita & Departamento,13
restaurant,Il Intervallo,13
hotel,Hotel Rey,12
restaurant,Cancino Roma,12
restaurant,Herminia,12
restaurant,Panepis,12
restaurant,Supra Roma,12
restaurant,La Fe,12
restaurant,Klein's,12
restaurant,Jugos María Cristina,12
restaurant,UTA Pizzería,12
restaurant,Nobu,12
restaurant,Mexitaco,12
restaurant,Asados Don Abel,12
restaurant,Jaleo - Bar de Tapas,12
restaurant,Comida casera,12
restaurant,Los Girasoles,12
hotel,Segovia Regency,12
restaurant,D Federal Cantina,12
restaurant,La Poblanita de Tacubaya Suc. Patriotismo,12
restaurant,Palomino's,12
restaurant,Mar y Tierra La Única,12
restaurant,Pollo Pancho,12
restaurant,Angelopolitano,12
hotel,Punto MX,12
restaurant,Fonda El Albur,12
restaurant,Asadero,12
restaurant,Lampuga Restaurant &Bar,12
restaurant,L´Entrecote - Le Relais de Venise,12
restaurant,Dulce Patria,12
restaurant,Brescia's,12
hotel,Hotel Reforma,12
restaurant,Marisquería El Sazón del Golfo,12
restaurant,limosneros,12
restaurant,Fonda Mayora,12
