Id_Viajes_Taxi,Proveedor,FechaHora_Inicio,FechaHora_Fin,Clase,Nombre,Distancia
6276,Mexico DF Radio Taxi,2017-02-06 07:10:00,2017-02-06 08:03:00,tree,Árbol de la Noche Victoriosa,169.39216775368126
9719,Mexico DF Taxi de Sitio,2017-07-06 03:06:00,2017-07-06 03:26:00,tree,Palmera,168.44682538065265
8120,Mexico DF Taxi Libre,2016-12-10 03:44:00,2016-12-10 03:53:00,tree,Palmera,165.78856543082537
9447,Mexico DF Radio Taxi,2017-07-02 02:16:00,2017-07-02 02:28:00,tree,Palmera,164.73210457807323
4031,Mexico DF Taxi Libre,2017-06-04 12:45:00,2017-06-04 01:04:00,tree,Sabino,163.20219808089439
8127,Mexico DF Taxi de Sitio,2016-12-10 08:20:00,2016-12-10 08:40:00,tree,El Cardenal,162.73280027079326
7490,Mexico DF Taxi Libre,2017-05-30 02:18:00,2017-05-30 02:25:00,tree,Antiguo Ahuehuete de Santa Catarina,159.44365544243362
2605,Mexico DF Taxi Libre,2016-09-29 07:36:00,2016-09-29 07:55:00,tree,El Cardenal,158.81839875951886
5761,Mexico DF Taxi de Sitio,2017-06-16 05:01:00,2017-06-16 05:10:00,tree,Palmera,152.55135405419676
9712,Mexico DF Radio Taxi,2017-07-05 08:08:00,2017-07-05 08:35:00,tree,Ahuehuete de Reforma,150.6248942547856
2698,Mexico DF Taxi de Sitio,2017-01-05 11:36:00,2017-01-06 12:02:00,tree,El Cardenal,145.39178164426639
289,Mexico DF Taxi Libre,2017-04-29 08:31:00,2017-04-29 08:35:00,tree,El Cardenal,141.96400888650129
8872,Mexico DF Taxi de Sitio,2017-06-24 03:35:00,2017-06-24 04:03:00,tree,Palmera,138.40201125464833
2089,Mexico DF Taxi de Sitio,2016-10-30 03:55:00,2016-10-30 04:29:00,spring,fuente mujer revolucionaria,135.73410275348331
1071,Mexico DF Radio Taxi,2017-07-11 04:10:00,2017-07-11 07:38:00,tree,Ahuehuete de Reforma,132.12736131165499
461,Mexico DF Taxi de Sitio,2017-03-30 07:01:00,2017-03-30 11:09:00,tree,El Cardenal,129.63191303196277
5677,Mexico DF Radio Taxi,2017-06-14 09:46:00,2017-06-14 10:03:00,tree,Ahuehuete de Reforma,126.31692722865603
9290,Mexico DF Taxi de Sitio,2017-06-30 12:09:00,2017-06-30 12:30:00,tree,Palmera,121.46454971159264
9202,Mexico DF Radio Taxi,2017-06-29 12:14:00,2017-06-29 12:22:00,tree,Ahuehuete de Reforma,120.01955313578772
7655,Mexico DF UberXL,2017-01-19 11:30:00,2017-01-19 11:43:00,tree,Palmera,119.74635389177901
1226,Mexico DF Taxi de Sitio,2017-07-15 12:58:00,2017-07-15 01:07:00,tree,Palmera,118.54853468617735
8583,Mexico DF Radio Taxi,2017-06-20 09:13:00,2017-06-20 09:25:00,tree,Ahuehuete de Reforma,117.28794680075954
9719,Mexico DF Taxi de Sitio,2017-07-06 03:06:00,2017-07-06 03:26:00,tree,Palmera,115.9503958677077
1509,Mexico DF Taxi Libre,2016-11-06 07:08:00,2016-11-06 07:10:00,tree,Antiguo Ahuehuete. Monumento de Tacuba,115.87330297575045
9570,Mexico DF Taxi Libre,2017-07-04 07:58:00,2017-07-04 09:13:00,spring,Fuente,112.73477311239039
