Hora,Cantidad_Viajes,Latitud,Longitud
2017-07-13 08:00:00,1,19.463099,-99.195349710000002
2017-07-13 08:00:00,1,19.46344612,-99.195885970000006
2017-07-13 08:00:00,1,19.486376830000001,-99.086772999999994
2017-07-13 08:00:00,1,19.627872180000001,-99.096111059999998
2017-07-13 08:00:00,1,19.639874299999999,-99.09651289
2017-07-14 08:00:00,1,19.34676632,-99.180847099999994
2017-07-14 08:00:00,1,19.365863869999998,-99.118946309999998
2017-07-14 08:00:00,1,19.4039085,-99.176971420000001
2017-07-14 08:00:00,1,19.477742410000001,-99.093696530000003
2017-07-15 08:00:00,1,19.40471234,-99.097657659999996
2017-07-16 08:00:00,1,19.358510469999999,-99.298014949999995
2017-07-16 08:00:00,1,19.630526339999999,-99.126514889999996
2017-07-16 08:00:00,1,19.634594920000001,-99.099803969999996
