Nombre_Carretera,Cantidad_Viajes
Avenida de los Tanques,10
Avenida Profesora Eulalia Guzmán,9
Callejón Escondida,9
Avenida Té,9
Privada Virgo,9
Avenida Coruña,9
Avenida Pacífico,9
Camino Real a Mixcoac,9
Calle Rancho de la Laja,9
Avenida Hospital Benito Juárez,9
Calle Cerro Macuiltepec,9
Calle Naranjos,9
Metrobús Línea 7,9
Calle Ojo de Agua,9
Calle Tlaxcala,9
Calle Providencia,9
Calle Víctor Rosales,9
Calle Oyametla,9
Calle Azalea,9
Avenida Río de la Magdalena,9
Calle Rancho Vista Hermosa,9
Calle Amores,9
Calle Carlos Echánove Trujillo,9
Cerrada Orquídea,9
Calle Del Álamo,9
Privada Benito Juárez,9
Avenida Municipio Libre,9
Calle Ocampo,9
Calle San Jerónimo,9
Calle General José Montesinos,9
Calle Altamirano,9
Privada Azucena,9
Eje 2 Oriente Honorable Congreso de la Unión,9
Calle General Mario Monterde,9
Calle Guadalajara,9
Calle 11 de Abril,9
Calle Izamal,9
Calle de la Cruz,9
Ciclopista Ecatepec-Nezahualcóyotl,9
Calle Pensamiento,9
Calle 21 de Marzo,9
Calle Amaret,9
Calle Lago Ilopango,9
Calle del Ángel,9
Calle San Juan,9
Calle Dixquitas,9
Andador Ciruelos,9
Cerrada Lago Ilopango,9
Calle José Simón Bolívar,9
Calle Francisco J. Clavijero,9
Calle Río Grijalva,9
Calle Platino,9
Cerrada Emiliano Zapata,9
Cerrada Primera Benito Juárez,9
Avenida Doctor Ignacio Morones Prieto,9
Calle Colector 13,9
Avenida Yucatán,9
Cerrada 1º Hidalgo,9
Vieja Carretera Xochimilco Tulyehualco,9
Cerrada Hidalgo,9
Calle Pichucalco,9
Calle Acueducto,9
Calle Colorines,9
Cerrada Las Torres,9
Calle Ex Arzobispado,9
Calle Chihuahua,9
Calle Magnolia,9
Calle de Goya,9
Avenida Poniente 140,8
Avenida Via Gustavo Baz,8
Prolongación San Pablo,8
Avenida Exploradores Ejército de Oriente,8
Calle Aralia,8
Calle Congreso,8
Calle Londres,8
Calle Ejido Santa Isabel Tola,8
Calle Paseo de la Hacienda de Echegaray,8
Cerrada Flor de San Juan,8
Calle Concepción Beistegui,8
Calle Uxmal,8
Calle Juan Vázquez de Mella,8
Calle San Pablo,8
Segundo Piso del Anillo Periférico,8
Autopista México - Puebla,8
Avenida Albañiles,8
Calle Presidente Juárez,8
Avenida Prolongación Misterios,8
