Nombre_Carretera,Cantidad_Viajes
Paso a desnivel,3
Avenida Acueducto,3
Calle Manuel M. Flores,3
Calle Galileo,3
Calle Doctor Federico Gómez Ugarte Santos,3
Calle Francisco Javier Mina,3
Calle Rancho San Jorge,3
Calle Nardos,3
Avenida del Árbol,3
Cerrada Segunda de San Antonio,3
Calle Soledad,3
Calle Asteroide,3
Calle Irapuato,3
Avenida Michoacán,3
Calle Lago Argentina,3
Calle Tezontle,3
Avenida Guadalupe Victoria,3
Andador Luis Echeverría Álvarez,3
Calle Abetos,3
Calle Combate de León,3
Calle Seris,3
Cerrada Río Churubusco,3
Calle Lerdo de Tejada,3
Carretera Mérida - Puerto Juárez,3
Calle Fundidora de Monterrey,3
Calle Hermes,3
Calle Alfonso Caso,3
Calle Doctor Atl,3
Calle Bahía la Ascensión,3
Cerrada Toltecas,3
Calle Benito Fernández Arrieta,2
Calle Santiago de Chile,2
Calle Manto,2
Calle Memetla,2
Avenida Arneses,2
Calle Manuel María Contreras,2
Avenida Recreo,2
Calle Tepexpan,2
Privada Luis de la Rosa,2
Palma Criolla,2
Calle Basilio Arévalo,2
Calle Cerro Tuera,2
Calle Playa Cancún,2
Calle Presa Falcón,2
Andador Ahuatongo,2
Privada General Anaya,2
Calle Federico Dávalos,2
Cerrada Juan de la Barrera,2
Hacienda de la Ecolástica,2
Oriente 114 B,2
2a Cerrada Pastores,2
Calle José María Lafragua,2
Calle Luis Fracisco Breguet,2
Zitacuaro,2
Circuito 2,2
Privada 16 de Septiembre,2
Calle Michelet,2
Cerrada Primera del Pozo 5,2
Antiguo Camino a Acapulco,2
Artemio Alpizar Ruz,2
Calle Etén,2
Calle Electrón,2
Calle Otenco,2
Calle Cefeo,2
Privada Jarilla,2
Calle Nezahualpilli,2
Andador Marchena,2
Calle Ricarte,2
Geyser Norte,2
Calle Capitán 2º Ponciano Quiroz Herrera,2
Calle del Fresno,2
Calle Puente Titla,2
Calle María Enriqueta Camarillo,2
Calle Linalóe,2
Calle Hacienda Presilla,2
Calle Odontología,2
Calle Antorcha,2
Calle U,2
Calle Palmira,2
Calle Valle de Matamoros,2
Prolongación Porfirio Díaz,2
Andador 4 Emilio Carranza,2
Calle Norte 92-B,2
Transbordo Intermodal Metro Cuitláhuac,2
Circuito Subasta y Productores,2
Calle Mina de Azufre,2
Calle Ceiba,2
Andador 1,2
Calle Panabá,2
Privada Rinconada de San Javier,2
Avenida Pisco,2
Calle E,2
Del Pino,2
Calle Flor de Azalea,2
Cerrada Duraznos,2
Cotingas,2
Calle 317,2
Calle Juan Diego,2
Retorno 9 de Fray Servando Teresa de Mier,2
Calle Próspero García,2
Calle Río Paraná,2
Cerrada Segunda Chontales,2
Calle Norte 90,2
Primera Cerrada de Antonio Rojas,2
Privada del Rosal,2
Calle Oriente 85,2
Andador 15,2
Calle Rosa Venus,2
Calle Tlacositiluyac,2
Avenida De las Águilas,2
Victoria,2
Antiguo Camino a San Pedro Mártir,2
Tercera Cerrada de Abetos,2
Avenida Santa Cruz Meyehualco,2
Sector 7,2
Cerrada Fracción 20,2
Cerrada Zoyoacan,2
Retorno 69,2
Calle San Cástulo,2
Avenida Cardiológos,2
Andador Vista Hermosa,2
Calle Arroyo,2
Calle Francisco de Zurbarán,2
Calle Loma Linda,2
Calle Bahía Magdalena,2
Andador Callejón de las Flores,2
Calle Trajineras,2
Cerrada Vicente Guerrero,2
Calle Tizoc,2
Calle Balancán,2
Calle Rancho Colorado,2
Calle Pera,2
Calle Copérnico,2
Cerrada Segunda Ojo de Agua,2
Calle Ley de Población,2
Calle Lago Pátzcuaro,2
Calle Tezozomoc,2
Avenida 615,2
Puerto Serdán,2
Avenida Cultura Tolteca,2
Cerrada 5 de Febrero,2
Calle D,2
Calle República de Costa Rica,2
Calle Everest,2
Callejón Zacatito,2
2a. Cerrada de los Cedros,2
Calle San Felipe,2
Cerrada 1ª Fresnillo,2
Calle Tenango,2
Calle del Cedral,2
Calle Combate de Celaya,2
Prolongación Morelos,2
Callejón del Conde,2
Calle Gobernador Gregorio V. Gelati,2
Circuito Paseo de los Parques,2
Avenida Laguna de Términos,2
Padilla Aragon,2
Metro Atlalilco,2
Calle Joaquín Velázquez de León,2
Cerrada Girasol,2
Calle Playa Miramar,2
Calle Antonio Díaz Soto y Gama,2
Segunda Cerrada Pueblo Nuevo,2
Calle Rancho Yuritzio,2
Calle José F. Gutiérrez,2
Calle Carril,2
Calle Florencio Constantino,2
Calle Osuna,2
Calle Estado de Nayarit,2
Pasaje del Rosal,2
Calle Océano de las Tempestades,2
José Clemente Orozco,2
Avenida Ingeniero Alfredo Robles Domínguez,2
Cerrada Amapolas,2
Tercer Anillo de Circunvalación,2
Boulevard Luis Donaldo Colosio,2
Calle Dolores del Río,2
Avenida Centro Escolar,2
Calle Perseverancia,2
Privada Primera Norte 10,2
Calle Dzitás,2
Retorno 11 de Fray Servando Teresa de Mier,2
Polotitlán,2
Calle Ignacio Chávez,2
Privada Manzana 1 Condominio 7,2
Calle Andrea del Castagno,2
Callejón 29 de Octubre,2
Cerrada 8ª Francisco I. Madero,2
Privada Río Jurua,2
Cerrada 20 de Noviembre,2
Calle Sur 4 D,2
Cañada,2
Calle Zinc,2
Andador 53,2
Calle Laderas del Paricutín,2
Privada Ignacio Aldama,2
Andador Primero,2
Calle Ciclamen,2
Avenida 6 Poniente,2
Calle Fucsia,2
Cerrada Rancho San Isidro,2
Camino a Fuentes Brotantes,2
Calle Alcantarilla,2
Calle Carlos J. Meneses,2
Calle Josefina Prior,2
Cerrada San Simón,2
Calle Bekal,2
Calle General Jesús Alonso Flores,2
Calle Río San Buenaventura,2
Calle Río Atoyac,2
Avenida Gobernador Ignacio Pichardo Pagaza,2
Andador Segundo,2
Calle Laredo,2
Calle Manuel Sandoval,2
Prolongación Alfonso Corona del Rosal,2
Calle Ancón,2
Calle Carlos Lazo,2
Cerrada Londres,2
Calle Gárgolas,2
Calle Louisiana,2
Calle Arroyo San Marcos,2
Calle Marconi,2
Arcos,2
Fracción 3,2
Calle R. de los Alpes,2
Calle Agujas,2
Guerrero,2
Calle Hortencia,2
Calle Médanos,2
Calle Agua,2
Avenida Puente Ramírez,2
Avenida 599,2
Calle C Manzana VI,2
Calle Alfonso Cárdenas,2
Calle Acapulco,2
Calle Beta,2
Cerrada Perlitas,2
Camino Viejo a Nativitas,2
Plaza de las Vizcaínas,2
Prolongación Pirineos,2
Calle Lago Silverio,2
Calle Lago Playa,2
Privada Mita,2
Avenida de los Barrios,2
Calle Jaime Balmes,2
Calle Alemania,2
Camino Triunfo,2
Calle El Gavillero,2
Calle Jaspe,2
Cerrada Primera Cedral,2
Calle Lago Neuchatel,2
Cerrada Uruapan,2
Cerrada Morelos,2
Cerrada Jacarandas,2
Cerrada Primera de Xosco,2
Avenida Lecheria Cuautitlán,2
Calle José María Emparan,2
Calle Ley de Ciencia y Tecnología,2
Calle Gloria,2
Andador Oaxtepec,2
Cerro de Huitzilac,2
Calle Doctor Manuel Martínez Solorzano,2
Calle Almendro,2
Calle Héroes Ferrocarrileros,2
Cerrada Quinta Palmas,2
Callejon Abasolo,2
Calle Emerson,2
Calle Oriente 1,2
Calle 29-A,2
Privada de Sabino,2
Avenida Paseo del Tepozán,2
Calle Lago Chapultepec,2
Calle Escalona,2
Calle Domingo González,2
Calle Ángel María Garibay Kintana,2
Calle Tlamahuacala,2
Cerrada Manzana Y Lote 3,2
Calle Baratillo,2
Cerrada Tennessee,2
Calle 34,2
Calle Sur 111,2
Calle Palmillas,2
Circuito De Santa Catarina De Ayotzingo,2
Calle Moreras,2
Cerrada Rosa Blanca,2
Transbordo Intermodal Metro Taxqueña-TB,2
Carretera A Melchor Ocampo,2
Calle Guarda,2
Calle Ramón Fabié,2
Calle 3 Cresencio Magaña,2
Periférico Boulevard Adolfo Ruiz Cortines,2
Calle Lago Michigan,2
Calle Moguer,2
Calle Oriente 160,2
Calle Pistachera,2
Calle Lago San Pedro,2
Calle Ramón Fabie,2
Anadador 20,2
Calle División del Norte,2
Calle Rafaél Solana "Verduguillo",2
Cerrada Aztecas,2
Camino a Santa Fe,2
Calle Santa Cecilia,2
Prolongación Ayuntamiento,2
Calle Gorostiza,2
Calle Psicis,2
Avenida 416,2
Calle 1492,2
Calle Marina Nacional,2
Calle Lago Rasna,2
Calle Diez de Navarro,2
Calle Serafín Olarte,2
Calle Cáliz,2
Calzada Santo Tomás,2
Calle María Hernández Zarco,2
Calle Tierra Negra,2
Cerrada Rufina,2
Avenida Riva Palacio,2
Calle Aile,2
Calle Navarra,2
5º Callejón Moctezuma,2
Lázaro Cárdenas,2
Andador Mirador,2
Calzada de las Arcadas,2
Cerrada Sur 113,2
Calle Adolfo Cienfuegos,2
Calle Cerro Teoca,2
Privada 11,2
Calle Botticelli,2
Avenida Plan de San Luis,2
Quinta Cerrada,2
Cerrada Ayuntamiento,2
Privada Benito Bernal,2
Calle Fraternidad,2
Vía Danubio,2
Cerrada Mimosa,2
Calle Azueta,2
Avenida México-Tenochtitlan,2
Cerrada Belisario Domínguez,2
Calle Carbonero,2
Callejón 2 de Abril,2
Calle Hacienda de Narvarte,2
Calle Chichén Itzá,2
Calle Carbonera,2
Calle Benito Gómez Farías,2
Calle José Moreno Salido,2
Retorno 24,2
Andador 7,2
Cerrada Tercera Olivos,2
Andador A,2
Calle Rancho Seco,2
Cerrada Desierto de los Leones,2
Cerrada Quinta Yautle,2
Calle la Corona,2
Camino a San Juan Ixtacala,2
Boulevard Bosques de los Continentes,2
Circuito Sector 31,2
Cerrada De Caoba,2
Calle Aspiros,2
Calle Álica,2
Retorno Golondrina Rústica,2
Calle 32-A,2
Calle Ixtlahuaca,2
Calle Huitzilihuitl,2
Calle Germanio,2
Circuito Río Amacuzac,2
Calle Kiosko,2
Calle Villa Frechos,2
Calle Mecánicos,2
Prolongación Buenavista,2
Calle Sándalo,2
Andador Insurgentes,2
Calle Playa Icacos,2
Cerrada 3ª San José,2
Calle Línea 10,2
Avenida Paseo de los Poetas,2
Sector 20,2
Avenida Acueducto de los Leones,2
Calle Licenciado Alberto M. González,2
Calle San Miguel Arcángel,2
Calle Ejido San Jerónimo,2
Privada Agame,2
Callejón Igualidad,2
Primera Cerrada Guadalajara,2
Circuito Hacienda Cerro de Mezquite,2
Calle Balsamina,2
Calle General Francisco Leyva,2
Avenida Guadiana,2
Calle José María Joaristi,2
Calle San Borja,2
Calle San Martin,2
Calzada la Viga,2
Calle Enrique Granados,2
Calle W,2
Segunda Cerrada Torres de Tepito,2
Poniente 73-A,2
Calle Juan Vásquez de Mella,2
Calle Reforma Laboral,2
Calle Laguna de San Cristóbal,2
Calle Grecia,2
Avenida 8,2
Cerrada Xóchitl,2
Andador 1-C,2
Calle Pípila,2
Calle Mezquite,2
Privada Manuel Ballesteros G.,2
Calle Flor de Agua,2
Calle Abedules,2
Calle Batalla Santa Rosa,2
Calle Márquez Sterling,2
Mexibús L1,2
Calle Oriente 81,2
Calle Abraham Olvera,2
Peras,2
Calle Ezequiel Montes,2
Avenida Deportivo Reynosa,2
Erita,2
Calle Compañía de Ixcatlán,2
Calle Guipuzcoa,2
Avenida Tlalnepantla - Tenayuca,2
Primera Cerrada Alcatraz,2
Calle Lago Texcoco,2
Calle Agrario,2
Calle Flor de Liz,2
Calle Valle del Don,2
Calle Volcán,2
Calle 67,2
Calle Salamá,2
Calle Oriente 174,2
Prolongación Hortencia,2
Calle General Miguel Quintana,2
Calle Río Nazas,2
Calle Trigo,2
Calle Río Eufrates,2
Calle Doctor Mora,2
El Bordo,2
Calle Ceámica,2
Cerrada Magnolia,2
Calle Bosque de Tecas,2
Calle Lago San Martín,2
Quinta Cerrada del Imán,2
Calle Ejido Churubusco,2
Calle Batalla de Loma Alta,2
Bosques de Ecuador,2
Calle Vicente García Torres,2
Calle Misioneros,2
Prolongación 25 de Diciembre,2
Calle Antigua Taxqueña,2
Calle La Quemada,2
Privada Economía,2
Calle Hojarasca,2
Calle Rutenio,2
Calle Villa Diezma,2
Tercera Cerrada Cochopa,2
Calle Rayo,2
Circuito de Posgrados,2
Calle Atanasio G. Sarabia,2
Calle Gobernador José Guadalupe Covarrubias,2
Calle Luis de la Rosa,2
Privada Naranjos,2
Calle Felipe Argüello,2
Privada 10 de Mayo,2
Calle Yucatán,2
Ramal al Circuito Exterior Mexiquense,2
Avenida Central de Abastos,2
Avenida Adolfo Ruíz Cortines,2
Calle Río Danubio,2
Calle Cártago,2
Andador Uno,2
Calle Camporis,2
Sección Laurel,2
Calle Segunda Huauchinango,2
Calle Bosque de Venezuela,2
Calle Arneses,2
Calle Ejido Santa Catarina,2
Calle Bilbao,2
Calle Rosario,2
Calle Versalles,2
Calle Gardenias Norte,2
Calle Iztaccíhuatl,2
General Pedro Antonio de los Santos,2
Calle Capulín,2
Calle Alhelí,2
Avenida Pirineos,2
Cerrada Melchor Ocampo,2
Calle Barbero de Sevilla,2
Calle Manuel López Cotilla,2
Avenida Altavilla,2
Avenida Loma de la Palma,2
Calle Cuauhtemotzin,2
Calle Jacaranda,2
Calle Soto y Gama,2
Avenida del Pirul,2
Andador Sevilla,2
Privada Juan J. Enaño,2
Calle Río Bamba,2
Calle Diego Ángulo Iñiguez,2
Calle Muzio Clementi,2
Calle Piña,2
Calle Azores,2
Calle Ciclón,2
Avenida Bosques de Asia,2
Glorieta Simón Bolivar,2
Octavo Callejón Palacio,2
Calle Gobernador Manuel Reyes Veramendi,2
Calle Marte,2
Calle Carlos Augusto Lindbergh,2
Calle 155A,2
Privada José Vasconcelos,2
Calle Claus Sluter,2
Calle Sur 24,2
Calle Oriente 103,2
Segunda Privada Bellavista,2
Gobernador Joaquín Pérez,2
Calle Peralta,2
Calle Francisco Lazo,2
Privada Niños Héroes,2
2a. Cerrada Minerva,2
Calle Moneda,2
Calle Cocheras,2
Calle Camargo,2
Calle Brigada Carbajal,2
Bosques de Colombia,2
Retorno María Teresa,2
Calle Frigia,2
Calle Vistas de Cuilotepec,2
Privada Tres,2
Calle Castillo de Winsor,2
Calle Salomé Piña,2
Privada Segunda Tonalá,2
Calle Hormiguero,2
Carretera México - Querétaro,2
Calle Acoltitla,2
Calle Valle de Nautla,2
Calle 72,2
Manuel Ávila Camacho,2
Cerrada Benito Juárez,2
Calle Tomàs Marín,2
Calle Playa Colorada,2
Calle Vigésimo Segunda Granada,2
Calle Escocia,2
Calle Sur 16,2
Calle Ahuejotes,2
Retorno 102,2
Calle Cerro San Miguel,2
Calle Polotitlán,2
Calle Mar Adriático,2
Avenida Fuentes Brotantes,2
Calle Paseo Sicilia,2
Calle Lago Tus,2
Callejón San Ángel,2
Calle Bosque de Duraznos,2
Calle Imuris,2
Calle Kansas,2
Privada Primera Antonio Delfín Madrigal,2
Calle Hacienda Encarnación,2
Avenida 5-A,2
Calle Rampa,2
Avenida Tezozómoc,2
Calle José Joaquín Arriaga,2
Calle Transfiguración,2
Calle Temixco,2
Cerrada Alcanfores,2
Prolongación Ixcateopan,2
Privada Centenario,2
Avenida Río Mississippi,2
Privada Roble,2
Cerrada Colinas,2
Calle Hacienda El Molino de Flores,2
Cerrada Bartolache,2
Calle Virgen San Juan de los Lagos,2
Calle Cerro del Arbolito,2
Calle Yaxabá,2
3ra de Cerrada de Carril,2
Calle Campesinos,2
Calle Roca,2
Avenida 35,2
Avenida Cerro del Viento,2
Calle Arizona,2
Calle Donato Guerra,2
Avenida Licenciado Ángel Otero,2
Cerrada Norte 81,2
Calle Salvatierra,2
Cerro Chinaco,2
Cerrada Apango,2
Calle La Bayoneta,2
Antiguo Camino a Tlaltenco,2
Calle Tenochtitlán,2
Cerrada Primera Hidalgo Número 35,2
Privada Encino Grande,2
Andador 51,2
Calle Oriente 184,2
Cerrada Primera Camino Viejo a Mixcoac,2
Calle Jura,2
Quinta Cerrada 2 de Febrero,2
Calle Antonia Nava,2
Calle Cultura Náhuatl,2
Calle Valle de Bravo,2
Calzada de los Jinetes,2
Calle Escudo Nacional,2
Calzada Minas de Arena,2
Calles John F. Kennedy,2
1ª Cerrada Ahuizotl,2
Calle Giorgione,2
Cerrada Magüey,2
Calle Hacienda Vergel,2
Calle General Ignacio L. Pesquería,2
Avenida Quintana Roo,2
Andador María Pistolas,2
Cerro de Santa Isabel,2
Calle Popoloca,2
Calle Miravalle,2
Calle Árbol,2
Calle Escolta,2
Calle Villa Iris,2
Calle Reforma a la Salud,2
Calle Federico García Lorca,2
Calle Sotuta,2
Calle Ejidos,2
Calle 15 de Canal Nacional,2
Andador Caudillo del Sur,2
Cerrada Cuarta Guadalupe I. Ramírez,2
Calle Temax,2
Cerrada Granados,2
1a Cerrada Pastores,2
Calle Rey Yupanqui,2
Calle Cadéna Azul,2
Calle 74,2
Calle Vincente Guerrero,2
Privada Cuatro,2
Avenida Centro Comercial,2
Cerrada Hornos,2
Calle Otilio Montaño,2
Cerrada Primavera,2
Calle Las Rosas,2
Arcos de Aragón Oriente,2
Cerrada Licenciado Rojina Villegas,2
Calle John F. Kennedy,2
Calle Topacio,2
Camino del Triunfo A,2
Privada Oriente,2
Boulevard de los Virreyes,2
Cerrada Claveles,2
Ejidos,2
Calle Flamingos,2
Privada de las Torres,2
Calle Mar de la Banda,2
Calle Laguna del Carmen,2
Calle Zacapu,2
Cerrada de la Era,2
Calle Villa General Belgrano,2
Calle Maya,2
Cerrada C. J. Preciat,2
Calle Torcuato Tasso,2
Calle Gobernación,2
Andador Norte,2
Retorno,2
Calle Hacienda Vista Hermosa,2
Autopista México Puebla,2
Calle Primera Minerva,2
Privada Pozo 5,2
Cerrada de Irlanda,2
Calle Troya,2
Calle Amatlán,2
Calle Licenciado Hilario Medina,2
Calle Ferrocarril,2
Calle Agustina Ramírez,2
Calle Nueve Oruga,2
Monte Alto,2
Calle Carlos Santana,2
Calle Oriente 87,2
Cerrada Primera Torres Tepito,2
Puente Las Adelitas,2
Calle Lago Valparaíso,2
Avenida Hacienda de Narvarte,2
Calle Norte 84 A,2
Cerrada Retorno 55,2
Calle Kaua,2
Calle L. Bravo,2
Avenida 6,2
Carretera La Venta - Santa Rosa,2
Boulevard Coacalco,2
Calle Lemus,2
Calle Marcelo,2
2ª Cerrada,2
Calle Sur 16 A,2
Privada Francisco Villa,2
Avenida Xavier Sorondo,2
Calle Panaderos,2
Calle Santa Catalina,2
Calle Lago Guanacacha,2
Retorno de Colina,2
Calle Agua Blanca,2
Calle Hugonotes,2
Calle Mixteca,2
Camino Real a Nativitas,2
Calle Arteaga,2
Paseo Campeador,2
Calle Temozón,2
Calle Manuela Medina,2
Calle Clavelina,2
Calle Ágata,2
Calle Bacerac,2
Calle Céfiro,2
Cerrada Octava Pachicalco,2
Calle Doctor Rafaél Norma,2
Calle Carlos Echánove,2
Privada Ezequiel Ordóñes,2
Primera Cerrada Jardines de la Viña,2
Calle Margarita Aguillón,2
Cerrada 1ª Luis Echeverría Álvarez,2
Andador 14,2
Calle Majaditas,2
Calle Oriente 102,2
Peatonal Quinto Hidalgo,2
Calle Fernando Anaya Monroy,2
Calle Doctor González Herrejón,2
Calle del Valle,2
Avenida Jacinto Canek,2
Avenida San Pablo,2
Calle Huehuetán,2
Calle Rosalita,2
Calle Licenciado Irineo Paz,2
Calle Rancho Las Pampas,2
Calle Norte 21,2
Avenida 601,2
Calle Manuel Malpica,2
Calle Belgrado,2
Calle Rafaél Heliodoro Valle,2
Calle Gamma,2
Calle Sicilianos,2
Calle Sur 144,2
Calle Capitán de Fragata Pedro Sainz de Baranda,2
Callejón Xiomayan,2
Calle Bernardo Cuoto,2
Calle Tiziano,2
Calle El Mirador,2
Cerrada San Bernabé,2
Carretera Cuernavaca-México,2
Avenida Ángel Albino Corzo,2
Privada Dos,2
Calle Manuel Leal,2
La Quemada,2
Calle Matorral,2
Andador Álamo,2
Calle Poniente 126,2
Calle Ferrería,2
Avenida Lomas de Capula,2
Privada Cuarta a Santa Cecilia,2
Calle Mar de Japón,2
Calle Parque Vía Reforma,2
Avenida de las Naciones,2
Calle Norte 81,2
Calle Ahuejote,2
Cerrada 19 de Febrero,2
Calle Monzón,2
Retorno 108 de Río Churubusco,2
Cerrada Retorno 54,2
Calle Amecameca,2
Calle Uranio,2
Calle Escandón,2
Cerrada Altramuz,2
Calle Presa Don Martin,2
Avenida Primavera,2
Privada Ferrocarril de Cuernavaca,2
Callejón de la Zanja,2
Calle Jiménez Cervantes,2
Privada Central,2
Retorno Perla,2
Avenida Jorge Jiménez Cantú,2
Calle Escultores,2
Calle Moyahua,2
Calle José García Preciat,2
Calle Toltecas,2
Calle Columba,2
Calle Fray Juan de Torquemada,2
Privada Carlos Hidalgo,2
Calle Narbona,2
Calle Jilgueros,2
Cerrada Primera Cochopa,2
Calle Corrido del Norte,2
Privada de Luisa,2
Cerrada General Pedro Rincón Gallardo,2
16 de Septiembre,2
Calle Julio López Chávez,2
Calle Peña Pobre,2
Privada Panal,2
Calle Malitzin,2
Avenida Cuarta,2
Calle 1 Sabadino Jaime,2
Calle Tetla,2
Cerrada Avenida México A,2
Boleo,2
Avenida Plutarco Elías Calles,2
Calle Matías Romero,2
Calle Ostrero,2
Calle Erita,2
Calle Insurgentes,2
Calle Carlos Ramírez,2
Calle Salvador Allende,2
Calle Atizapán,2
Calle Juventud,2
Calle Bugambilias,2
Cerrada Juventud,2
Andador Calzada Quebradora,2
Andador Jardín Plaza Hidalgo,2
Órgano,2
Calle Montes de Oca,2
Puente Casual,2
Calle Rinconada de Jesús,2
Callejón Fabián Flores,2
Calle Puente Quemado,2
Calle Faro,2
Calle Miguel de Cervantes y Saavedra,2
Avenida 535,2
Calle Bosque de Chapultepec,2
Calle Estampado,2
Calle José M. Othón,2
Calle Luis Beriot,2
Calle Félix Gutiérrez,2
Calle Vallarta,2
Calle de las Rosas,2
Autopista México-Querétaro,2
Calle Ingenieros Químicos,2
Calle Museo,2
Segunda Cerrada de Abetos,2
Avenida Alfredo del Mazo Vélez,2
Calle Bulgaria,2
Plaza 23 de Mayo,2
Calle Lope de Rueda,2
Calle Isaac Newton,2
Calle Hacienda Chinameca,2
Calle Roma,2
Calle Cerdeña,2
Calle Ángel Trías,2
Segunda Cerrada Acoxpa,2
Calle Nochistlán,2
Boulevard Magnocentro,2
Avenida Biólogo Maximino Martínez,2
Calle Cafetal,2
Calle Tepepan,2
Circuito Fuentes del Pedregal,2
Calle Resina,2
Calle Melbourne 1956,2
Peatonal Laureles,2
Paso De La Laja,2
Calle Temamatla,2
Calzada Santa Cruz,2
Calle la Brecha,2
Calle Puerto Tampico,2
Calle Ganaderos,2
Segunda Cerrada Francisco Villa,2
Metrobús Línea 4,2
Cerrada Primera de Pinahuizac,2
Privada Magnolia,2
Cerrada del Vivero,2
Calle 11 de Agosto de 1859,2
Calle Olín,2
Calle Argos,2
Canal Nacional,2
Calle Jojutla,2
Cerrada Chicago,2
Calle Managua,2
Prolongación Vasco de Quiroga,2
Andador Duraznos,2
Primero de Mayo,2
Calle Fuego,2
Avenida Moliere,2
Calle Cipactli,2
Calle Redención,2
Primera Cerrada Miguel Hidalgo,2
Calle Rosa Negra,2
Avenida Licenciado Genaro García,2
Calle Lucas Giordano,2
Calle Juan Manuel de Herrera,2
Calle Alfalfares,2
Calle Muguete,2
Calle José Joaquín Herrera,2
Calle Río de las Pampas,2
Calle San Pedro Actopan,2
Calle Croco,2
Calle Sara,2
2˚ Cerrada de Avenida Revolución,2
Calle Caribe,2
Calle Arquitecto Jesús Urquiada,2
Calle República de Cuba,2
Vainilla,2
Huitzilopóchtli,2
Calle 2 de Febrero,2
Calle Sur 4,2
Calle Sur 18 A,2
Calle Escuela,2
Callejón San Antonio Abad,2
Retorno Europa,2
Sector 27,2
Autopista México-Texcoco,2
Calle Sur 116,2
Calle Cañacoro,2
Calle Pisco,2
Calle Río Madeira,2
Prolongación Vicente Guerrero,2
Avenida Jardines de Morelos,2
Avenida del Conscripto,2
Calle Níquel,2
Carretera Xochimilco-San Pablo,2
Cerrada M. Zavala,2
Calle Río Urique,2
Calle Norte del Comercio,2
Calle Licenciado Braulio Maldonado,2
Cerrada Cerezo,2
Calle Gobernador Protasio Pérez de Tagle,2
Calle Totolapan,2
Calle 1 Justiniano García,2
Calle Ozumba,2
Calle Antonio Dovalí Jaime,2
Primera Cerrada de Cantera,2
Calle Jorge Enciso,2
Calle Confederación Nacional del Trabajo,2
Calle Aviación Militar,2
5 de Febrero,2
Calle Sur 98,2
Calle Sur 75,2
Calle Ayutla,2
Cerrada Fray Servando,2
Avenida Peto,2
Cerrada Madroñón,2
Calle Lecumberri,2
Avenida Salvador Díaz Mirón,2
Calle Senderos Ocultos,2
Calle Pintores,2
Privada Colorines,2
Calle Paradisea,2
Callejón del Artista,2
Calle Antillas,2
Calle Prisciliano Sánchez,2
Calle Crisantema,2
Calle Lago Mayor,2
Napoleón,2
Cerrada Tercera,2
Calle Sur 149,2
Calle La Valentina,2
Calle Andrés Bello,2
Calle Lago Chiem,2
Calle Playa Mocambo,2
Circuito 2 José María Morelos,2
Calle Gobernador General José Morán,2
Calle Norte 74,2
Calle Norte 94,2
Calle Flavio García,2
Calle Tlahuicas,2
Avenida Invierno,2
Fernando,2
Andador Paseo de las Facultades,2
Calle Bosques de Vietnam,2
Calle Cuarta 515,2
Calle Teniente Roberto Gómez Moreno,2
Calle Meseta,2
Calle Piedra de Oro,2
Primera Privada Bellavista,2
Privada Independencia,2
Andador 22,2
Calle Yucalpetén,2
Calle Teyaca,2
Cerrada Baltazar,2
Calle Tepeji,2
Calle General Gabriel Hernández,2
Calle Coyuya,2
Calle Río Pánuco,2
Cerrada Verbena,2
Prolongación Santiago Apóstol,2
Calle Quauhnicol,2
Calle Herodoto,2
Calzada de las Carretas,2
Calle Río Tamazula,2
Calle Xochimilco,2
Calle Edgar Allan Poe,2
Calle Azucenas,2
Transbordo Metro Doctores,2
Calle Tamagno,2
Cerrada Álamos,2
Cerrada Aquiles,2
Calle La Negra,2
Avenida Insurgente Eugenio Girón,2
Avenida Ignacio Zaragoza,2
Ricardo Flores Magón,2
Privada Neptuno,2
Calle M. de la Cruz,2
Cerrada Manzana Y Lote 2,2
Calle Poniente 14,2
Calle Paloma Silvestre,2
Plan de Guadalupe,2
Calle Ramiriqui,2
Fracción 4,2
Calle Ambato,2
Calle Segunda de Órganos,2
Calle Campánula,2
Calzada Guadalupe I. Ramírez,2
Calle Río Verde,2
Cerrada Cachopa,2
Privada Retorno 30,2
San Pablo Xalpa,2
Cerrada Fresas,2
Calle Licenciado Paulino Machorro Narvaez,2
Privada Tapiceria,2
Avenida Ejido Colectivo,2
Calle Violetas,2
Calle Sierra Mixteca,2
Calle Hacienda Mayorazgo,2
Calle Pehuame,2
Carretera a Xochimilco-Topilejo,2
Cerrada 2ª Porfirio Díaz,2
Cerrada Fausto Vega,2
Privada 3ª de Oaxaca,2
Peatonal Alhelí,2
Calle Cayetano Andrade,2
Calle Pico de Turquino,2
Avenida Doctor Nicolás León,2
Calle Mar del Norte,2
Calle del Carmen,2
Camino a Ahuatenco,2
Calle Papalotl,2
Prolongación Moliere,2
Calle Villa Alemana,2
Calle Seyé,2
Calle Valdivia,2
Privada Palmas,2
Calle Ocotlán,2
Camino A Reclusorio,2
Calle San Rafaél y Atlixco,2
Calle Sierra Tarahumara Poniente,2
Calle Rómulo O'Farril,2
Cerrada Pozonco,2
Calle Pocito,2
Segunda Privada Cedral,2
Calle Nueces,2
Circuito Río San Pedro,2
Calle Norte 71,2
Calle Carlota,2
Cerrada Doctor José Ramos,2
Calle Gaviota,2
Calle Aldana,2
Calle Sur 183,2
Calle 30 de Abril,2
Avenida 633,2
Calle Cacahuamilpa,2
Calle José Algara Cervantes,2
Calle Rincón del Río,2
Calle Profesor Miguel Serrano,2
